,Kernel Type,C,Gamma,Degree,MSE
0,linear,0.1,0.1,-,0.06535132518958084
1,linear,0.1,0.1,-,0.06535132518958084
2,linear,0.1,1.0,-,0.06535132518958084
3,linear,0.1,1.0,-,0.06535132518958084
4,linear,0.1,5.0,-,0.06535132518958084
5,linear,0.1,5.0,-,0.06535132518958084
6,linear,1.0,0.1,-,0.06765695107663783
7,linear,1.0,0.1,-,0.06765695107663783
8,linear,1.0,1.0,-,0.06765695107663783
9,linear,1.0,1.0,-,0.06765695107663783
10,linear,1.0,5.0,-,0.06765695107663783
11,linear,1.0,5.0,-,0.06765695107663783
12,linear,10.0,0.1,-,0.13366371181074263
13,linear,10.0,0.1,-,0.13366371181074263
14,linear,10.0,1.0,-,0.13366371181074263
15,linear,10.0,1.0,-,0.13366371181074263
16,linear,10.0,5.0,-,0.13366371181074263
17,linear,10.0,5.0,-,0.13366371181074263
18,polynomial,0.1,0.1,2,0.06886616396399887
19,polynomial,0.1,0.1,3,0.06360985966049136
20,polynomial,0.1,1.0,2,0.06886616396399887
21,polynomial,0.1,1.0,3,0.06360985966049136
22,polynomial,0.1,5.0,2,0.06886616396399887
23,polynomial,0.1,5.0,3,0.06360985966049136
24,polynomial,1.0,0.1,2,0.07015264633709876
25,polynomial,1.0,0.1,3,0.06511596002150949
26,polynomial,1.0,1.0,2,0.07015264633709876
27,polynomial,1.0,1.0,3,0.06511596002150949
28,polynomial,1.0,5.0,2,0.07015264633709876
29,polynomial,1.0,5.0,3,0.06511596002150949
30,polynomial,10.0,0.1,2,0.08981509405387145
31,polynomial,10.0,0.1,3,0.09908979375521802
32,polynomial,10.0,1.0,2,0.08981509405387145
33,polynomial,10.0,1.0,3,0.09908979375521802
34,polynomial,10.0,5.0,2,0.08981509405387145
35,polynomial,10.0,5.0,3,0.09908979375521802
36,rbf,0.1,0.1,-,0.06164489365882698
37,rbf,0.1,0.1,-,0.06164489365882698
38,rbf,0.1,1.0,-,0.06433853245234798
39,rbf,0.1,1.0,-,0.06433853245234798
40,rbf,0.1,5.0,-,0.06771684357225502
41,rbf,0.1,5.0,-,0.06771684357225502
42,rbf,1.0,0.1,-,0.09382230266037123
43,rbf,1.0,0.1,-,0.09382230266037123
44,rbf,1.0,1.0,-,0.06864654805865712
45,rbf,1.0,1.0,-,0.06864654805865712
46,rbf,1.0,5.0,-,0.09464771066399082
47,rbf,1.0,5.0,-,0.09464771066399082
48,rbf,10.0,0.1,-,0.46063224998272895
49,rbf,10.0,0.1,-,0.46063224998272895
50,rbf,10.0,1.0,-,0.3051526884988283
51,rbf,10.0,1.0,-,0.3051526884988283
52,rbf,10.0,5.0,-,0.41081009117404815
53,rbf,10.0,5.0,-,0.41081009117404815
54,quadratic,0.1,0.1,-,0.06886616396399887
55,quadratic,0.1,0.1,-,0.06886616396399887
56,quadratic,0.1,1.0,-,0.06886616396399887
57,quadratic,0.1,1.0,-,0.06886616396399887
58,quadratic,0.1,5.0,-,0.06886616396399887
59,quadratic,0.1,5.0,-,0.06886616396399887
60,quadratic,1.0,0.1,-,0.07015264633709876
61,quadratic,1.0,0.1,-,0.07015264633709876
62,quadratic,1.0,1.0,-,0.07015264633709876
63,quadratic,1.0,1.0,-,0.07015264633709876
64,quadratic,1.0,5.0,-,0.07015264633709876
65,quadratic,1.0,5.0,-,0.07015264633709876
66,quadratic,10.0,0.1,-,0.08981509405387145
67,quadratic,10.0,0.1,-,0.08981509405387145
68,quadratic,10.0,1.0,-,0.08981509405387145
69,quadratic,10.0,1.0,-,0.08981509405387145
70,quadratic,10.0,5.0,-,0.08981509405387145
71,quadratic,10.0,5.0,-,0.08981509405387145
